question,ground_truth,contexts,source,page
What type of system is ELIZA described as in the text?,An early natural language processing system.,"['4 CHAPTER 2 • W ORDS AND TOKENS\nCHAPTER\n2\nWords and Tokens\nUser: I need some help, that much seems certain.\nELIZA: WHAT WOULD IT MEAN TO YOU IF YOU GOT SOME HELP\nUser: Perhaps I could learn to get along with my mother.\nELIZA: TELL ME MORE ABOUT YOUR FAMILY\nUser: My mother takes care of me.\nELIZA: WHO ELSE IN YOU FAMILY TAKES CARE OF YOU\nUser: My father.\nELIZA: YOUR FATHER\nUser: You are like my father in some ways.\nWeizenbaum (1966)\nThe dialogue above is fromELIZA, an early natural language processing systemELIZA\nthat could carry on a limited conversation with a user by imitating the responses of\na Rogerian psychotherapist (Weizenbaum, 1966). ELIZA is a surprisingly simple\nprogram that uses pattern matching on words to recognize phrases like “I need X”']",../data/course_textbook.pdf,11
What are the main topics covered in WEEK10 of the course?,"Prompt based Large Language Models, Transfer learning and reinforcement learning as the basis of LLMs, RLHF, LLMs and applications.","['10. WEEK10. Large Language Models and Prompt Engineering (cont..) \nLecture: Prompt based Large Language Models, Transfer learning and reinforcement \nlearning as the basis of LLMs, RLHF, LLMs and applications \nLab: Prompting and prompt-chaining of  open sourced LLMs for different NLP tasks \nReadings: \n[1] Liu, P., Yuan, W., Fu, J., Jiang, Z., Hayashi, H., & Neubig, G. (2023). Pre-train, prompt, \nand predict: A systematic survey of prompting methods in natural language processing. \nACM Computing Surveys, 55(9), 1-35. (https://dl.acm.org/doi/pdf/10.1145/3560815) \n[2] Tutorial on Prompt Engineering: https://github.com/dair-ai/Prompt-Engineering-\nGuide/blob/main/lecture/Prompt-Engineering-Lecture-Elvis.pdf \n11. WEEK11. Information Retrieval and Retrieval Augmented Generation']",../data/course_syllabus.pdf,8
What type of algorithm does learning in CRFs rely on?,supervised learning algorithms,"['17.6 • E VALUATION OF NAMED ENTITY RECOGNITION 401\nThe requisite changes from HMM Viterbi have to do only with how we ﬁll each\ncell. Recall from Eq. 17.19 that the recursive step of the Viterbi equation computes\nthe Viterbi value of time t for state j as\nvt ( j) =\nN\nmax\ni=1\nvt−1(i)ai jb j(ot ); 1 ≤ j ≤ N,1< t ≤ T (17.31)\nwhich is the HMM implementation of\nvt ( j) =\nN\nmax\ni=1\nvt−1(i) P(s j|si) P(ot |s j) 1 ≤ j ≤ N,1< t ≤ T (17.32)\nThe CRF requires only a slight change to this latter formula, replacing the a and b\nprior and likelihood probabilities with the CRF features:\nvt ( j) =\nN\nmax\ni=1\n[\nvt−1(i) +\nK∑\nk=1\nwk fk(yt−1,yt,X,t) 1 ≤ j ≤ N,1< t ≤ T\n]\n(17.33)\nLearning in CRFs relies on the same supervised learning algorithms we presented']",../data/course_textbook.pdf,408
What is one of the main topics covered in Week 1 practicum?,Processing and cleaning textual data,"['Lab: Week 1 practicum continued, Processing and cleaning textual data, text \nnormalization, morphological analysis (stemming and lemmatization),  Feature extraction \nfrom words, word vectors \nReadings:  \n[1] Chapter 3. Words and Transducers, Book: Jurafsky, D., & Manning, C. (2012). Natural \nlanguage processing. Instructor, 212(998), 3482. \n[2] Bag of words and N-grams: https://en.wikipedia.org/wiki/Bag-of-words_model \n[3] NLP: Word Embedding Techniques for Text Analysis \nhttps://medium.com/sfu-cspmp/nlp-word-embedding-techniques-for-text-\nanalysis-ec4e91bb886f \nOptional Readings: \n[1] Word Embeddings https://people.eng.unimelb.edu.au/mbouadjenek/papers/\nwordembed.pdf   \nAssignment 2: Building a word based search application']",../data/course_syllabus.pdf,5
What method is used in LSA to find the most important dimensions of a dataset?,Singular Value Decomposition (SVD),"['bedding models do contribute some speciﬁc compositional aspect of meaning like\nthese early semantic features.\nThe use of dense vectors to model word meaning, and indeed the term embed-\nding, grew out of the latent semantic indexing (LSI) model (Deerwester et al.,\n1988) recast as LSA (latent semantic analysis) (Deerwester et al., 1990). In LSA\nsingular value decomposition— SVD— is applied to a term-document matrix (eachSVD\ncell weighted by log frequency and normalized by entropy), and then the ﬁrst 300\ndimensions are used as the LSA embedding. Singular Value Decomposition (SVD)\nis a method for ﬁnding the most important dimensions of a dataset, those dimen-\nsions along which the data varies the most. LSA was then quickly widely applied:']",../data/course_textbook.pdf,125
What is the consequence for unauthorized sharing of course materials?,Failure to adhere to this policy may result in the initiation of legal actions.,"['Course Material Sharing Policy \nUnauthorized sharing or distribution of lecture notes, slides, or examination questions is \nstrictly prohibited without prior permission from the instructors. Failure to adhere to this \npolicy may result in the initiation of legal actions. In the event that class should be \nrecorded, class recordings are reserved only for students in this class for educational \npurposes and are protected under FERPA. The recordings should not be shared outside the \nclass in any form. Violation of these restrictions by a student could lead to Student \nMisconduct proceedings. \nReligious Holy Days \nBy UT Austin policy, you must notify me of your pending absence as far in advance as \npossible of the date of observance of a religious holy day. If you must miss a class, an']",../data/course_syllabus.pdf,10
What does UT Austin commit to regarding discrimination?,UT Austin is committed to fostering a learning and working environment free from discrimination in all its forms.,"['dating/domestic violence and stalking at federally funded educational institutions. UT \nAustin is committed to fostering a learning and working environment free from \ndiscrimination in all its forms. When unprofessional or inappropriate conduct of a sexual \nnature occurs in our community, the university can: \n1.Intervene to prevent harmful behavior from continuing or escalating. \n2.Provide support and remedies to students and employees who have experienced harm \nor have become involved in a Title IX investigation. \n3.Investigate and discipline violations of the university’s relevant policies. \n Beginning January 1, 2020, Texas Senate Bill 212 requires all employees of Texas \nuniversities, including faculty, report any information to the Title IX Office regarding']",../data/course_syllabus.pdf,11
What was the primary focus of traditional European grammar as described in the text?,Traditional European grammar defined relations between words rather than constituents.,"['“immediate-constituent analysis” was a well-established method of syntactic study\nin the United States. By contrast, traditional European grammar, dating from the\nClassical period, deﬁned relations between words rather than constituents, and Eu-\nropean syntacticians retained this emphasis on suchdependency grammars, the sub-\nject of Chapter 19. (And indeed, both dependency and constituency grammars have\nbeen in vogue in computational linguistics at different times).\nAmerican Structuralism saw a number of speciﬁc deﬁnitions of the immediate\nconstituent, couched in terms of their search for a “discovery procedure”: a method-\nological algorithm for describing the syntax of a language. In general, these attempt\nto capture the intuition that “The primary criterion of the immediate constituent']",../data/course_textbook.pdf,435
What are the three metrics that the CoNLL coreference competitions are scored based on?,"MUC, CEAF-e, and B3","['23.9 • W INOGRAD SCHEMA PROBLEMS 545\nThe weight wi for each entity can be set to different values to produce different\nversions of the algorithm.\nFollowing a proposal from Denis and Baldridge (2009), the CoNLL coreference\ncompetitions were scored based on the average of MUC, CEAF-e, and B3 (Pradhan\net al. 2011, Pradhan et al. 2012b), and so it is common in many evaluation campaigns\nto report an average of these 3 metrics. See Luo and Pradhan (2016) for a detailed\ndescription of the entire set of metrics; reference implementations of these should\nbe used rather than attempting to reimplement from scratch (Pradhan et al., 2014).\nAlternative metrics have been proposed that deal with particular coreference do-\nmains or tasks. For example, consider the task of resolving mentions to named']",../data/course_textbook.pdf,552
What does each boldfaced cell in the alignment path represent?,An alignment of a pair of letters in the two strings.,"['chine translation, in which sentences in a parallel corpus (a corpus with a text in two\nlanguages) need to be matched to each other.\nTo extend the edit distance algorithm to produce an alignment, we can start by\nvisualizing an alignment as a path through the edit distance matrix. Figure 2.22\nshows this path with boldfaced cells. Each boldfaced cell represents an alignment\nof a pair of letters in the two strings. If two boldfaced cells occur in the same row,']",../data/course_textbook.pdf,40
What is the role of the autoregressive (AR) transformer in the two-stage language modeling approach for V ALL-E?,The autoregressive (AR) transformer generates all the codes for the first quantizer from left to right.,"['use a language model to conditionally generate discrete audio tokens corresponding\nto the text prompt, in the voice of the speech sample.\nAutoregressive (AR) Transformer\nTextAudio Prompt\nCT’+1,1 CT’+2,1 CT,1\nCT’+1,2\nCT’+1,3\nCT’+2,2 CT,2\nCT’+2,3\nx C\nCT,3\nCT’+1,1 CT’+2,1 CT,1\nx C\nx C\nx C\nCT’+1,1\nCT’+1,2 …\n…\n…\nCT,1CT’+2,1\nCT’+2,2 CT,2\n…\nNon-Autoregressive\nNon-Autoregressive\nNon-Autoregressive\nOutput code sequence\n…\nFigure 16.7 The 2-stage language modelling approach for V ALL-E, showing the inference\nstage for the autoregressive transformer and the ﬁrst 3 of the 7 non-autoregressive transform-\ners. The output sequence of discrete audio codes is generated in two stages. First the au-\ntoregressive LM generates all the codes for the ﬁrst quantizer from left to right. Then the']",../data/course_textbook.pdf,380
What corpus is VALL-E trained with?,Libriheavy corpus,"['us to employ advanced prompting-based large-model techniques\n(as in GPTs [10])f o rt h ez e r o - s h o tT T Sp r o b l e m .\nWe train VALL-E with Libriheavy corpus[15], a labeled ver-\nsion of Librilight corpus [16] that consists 50 k hours of English\nspeech derived from open-source audio books with over 7000\nunique speakers. Compared to previous TTS training datasets,\n2998-4173 © 2025 IEEE. All rights reserved, including rights for text and data mining, and training of artiﬁcial intelligence and similar technologi es.\nPersonal use is permitted, but republication/redistribution requires IEEE permission. See https://www.ieee.org/publications/rights/index. html for more information.']",../data/course_textbook.pdf,373
What action may be taken if there are inconsistencies between a student's explanations and submitted solutions?,Instigate misconduct proceedings against the concerned student.,"['suggesting the involvement of an AI tool, I retain the authority to request clarification from \nthe student. This clarification may be sought through email communication or arranged \nverbal discussions in the form of one-on-one meetings. In the event of any inconsistencies \nbetween the provided explanations and the submitted solutions, I reserve the right to \ninstigate misconduct proceedings against the concerned student. Upon enrolling in this \ncourse, students inherently express their agreement to adhere to this policy as well as any \nforthcoming policies described below.']",../data/course_syllabus.pdf,9
What is the maximum duration of the examination mentioned in the text?,2 hours,"['comprise a maximum of 5 questions and is scheduled to last no longer than 2 hours. This \nexamination is designed to be open book/notes; however, access to the internet will not be \nallowed. \nImportant Dates \n1.October 02, 2024 : Group Formation for Project/Activities \n2.October 16, 2024: Preliminary proposal due for group project \n3.October 23: In-class Quiz (50 points) \n4.November 20: Group project work in progress presentation and feedback soliciting \n(5 minutes per group and counted towards class activity) \n5.December 4: Final presentation of group project (Max. 15 minutes per group) \n6.December 10: Final project-report submission  \nLate Work and Missed Work \nIn an effort to accommodate any unexpected personal events, I have enacted a grace']",../data/course_syllabus.pdf,3
What is a computation graph?,"A computation graph is a representation of the process of computing a mathematical expression, in which the computation is broken down into separate operations, each of which is modeled as a node in a graph.","['agation or backprop (Rumelhart et al., 1986). While backprop was invented spe-error back-\npropagation\ncially for neural networks, it turns out to be the same as a more general procedure\ncalled backward differentiation , which depends on the notion of computation\ngraphs. Let’s see how that works in the next subsection.\n6.6.3 Computation Graphs\nA computation graph is a representation of the process of computing a mathematical\nexpression, in which the computation is broken down into separate operations, each\nof which is modeled as a node in a graph.\nConsider computing the function L(a,b,c) = c(a + 2b). If we make each of the\ncomponent addition and multiplication operations explicit, and add names (d and e)\nfor the intermediate outputs, the resulting series of computations is:\nd = 2 ∗ b']",../data/course_textbook.pdf,146
What is the purpose of the project mentioned in the text?,To create a framework for dependency treebank annotation.,"['454 CHAPTER 19 • D EPENDENCY PARSING\nproject to create a framework for dependency treebank annotation, with nearly 200\ntreebanks in over 100 languages. The UD annotation scheme evolved out of several\ndistinct efforts including Stanford dependencies (de Marneffe et al. 2006, de Marn-\neffe and Manning 2008, de Marneffe et al. 2014), Google’s universal part-of-speech\ntags (Petrov et al., 2012), and the Interset interlingua for morphosyntactic tagsets\n(Zeman, 2008).\nThe Conference on Natural Language Learning (CoNLL) has conducted an in-\nﬂuential series of shared tasks related to dependency parsing over the years (Buch-\nholz and Marsi 2006, Nivre et al. 2007a, Surdeanu et al. 2008, Haji ˇc et al. 2009).\nMore recent evaluations have focused on parser robustness with respect to morpho-']",../data/course_textbook.pdf,461
What is the page number for 'Evaluating Parsers'?,425,['CONTENTS 7\n18.7 Span-Based Neural Constituency Parsing . . . . . . . . . . . . . . 423\n18.8 Evaluating Parsers . . . . . . . . . . . . . . . . . . . . . . . . . . 425\n18.9 Heads and Head-Finding . . . . . . . . . . . . . . . . . . . . . . 426\n18.10 Summary . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 427\nHistorical Notes . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 428\nExercises . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 429\n19 Dependency Parsing 431\n19.1 Dependency Relations . . . . . . . . . . . . . . . . . . . . . . . . 432\n19.2 Transition-Based Dependency Parsing . . . . . . . . . . . . . . . 436\n19.3 Graph-Based Dependency Parsing . . . . . . . . . . . . . . . . . 445'],../data/course_textbook.pdf,6
What is the focus of WEEK11 in the lecture series?,Information Retrieval and Retrieval Augmented Generation,"['Guide/blob/main/lecture/Prompt-Engineering-Lecture-Elvis.pdf \n11. WEEK11. Information Retrieval and Retrieval Augmented Generation \nLecture: RAG basics, Dense Passage Retrieval (DPR), Knowledge-Enhanced Generation \nLab: Building an RAG pipeline with Open Source LLM model \nReadings: \n[1]Michiel Horstman. 2024. RAG for Dummies: A Beginner’s Guide to Retrieval-\nAugmented Generation  https://michielh.medium.com/rag-for-dummies-a-beginners-\nguide-to-retrieval-augmented-generation-ac3348d31302  \n[2] Building RAG from Scratch https://docs.llamaindex.ai/en/stable/examples/low_level/\noss_ingestion_retrieval/  \nAssignment 6: Building an RAG Application \n12. WEEK12. Knowledge Networks + Pragmatics in NLP \nLecture: Knowledge networks and Ontology, WordNet, ConceptNet and DBPedia']",../data/course_syllabus.pdf,8
What does the phrase 'Where' get assigned in terms of semantics in the TDAP project?,Place = ?,"['TDAP project at the University of Pennsylvania, essentially a cascade of ﬁnite-state\ntransducers (see the historical discussion in Joshi and Hopely 1999 and Karttunen\n1999). Then in a content analysis phase each word or phrase was associated with a\nprogram that computed parts of its meaning. Thus the phrase ‘Where’ had code to\nassign the semantics Place = ? , with the result that the question “Where did the\nRed Sox play on July 7” was assigned the meaning\nPlace = ?\nTeam = Red Sox\nMonth = July\nDay = 7']",../data/course_textbook.pdf,262
What devices are students required to bring to the course?,Students are required to bring their laptop computers.,"['=8d765a26-c155-4d8c-b23a-d5dc59621b5c&pd_rd_i=0262133601&psc=1   \nBooks that can be optionally purchased (optional) \n3. Kamath, U., Liu, J., & Whitaker, J. (2019). Deep learning for NLP and speech \nrecognition (Vol. 84). Cham, Switzerland: Springer. \nRequired Devices \nThis course requires students to bring their laptop computers, although it is \ndevice agnostic (PC and Mac preferable but do let me know beforehand if you are working \nwith any customized hardware+ OS ). Students will be required to install Python, SQL and \nJupyter notebooks. For resource heavy exercises, we may use Google Colab and Texas \nAdvance Computing Center (TACC) services.  \nClass Participation \nStudents are expected to attend every class and actively engage themselves in class']",../data/course_syllabus.pdf,2
Who authored the 2012 paper titled 'Introduction to “This is Watson”'?,D. A. Ferrucci,"['Bibliography 589\nFerrucci, D. A. 2012. Introduction\nto “This is Watson”. IBM Jour-\nnal of Research and Development ,\n56(3/4):1:1–1:15.\nField, A. and Y . Tsvetkov. 2019. Entity-\ncentric contextual affective analysis.\nACL.\nFillmore, C. J. 1966. A proposal con-\ncerning English prepositions. In F. P.\nDinneen, ed., 17th annual Round Ta-\nble, volume 17 of Monograph Series\non Language and Linguistics , 19–\n34. Georgetown University Press.\nFillmore, C. J. 1968. The case for case.\nIn E. W. Bach and R. T. Harms, eds,\nUniversals in Linguistic Theory , 1–\n88. Holt, Rinehart & Winston.\nFillmore, C. J. 1985. Frames and the se-\nmantics of understanding. Quaderni\ndi Semantica, VI(2):222–254.\nFillmore, C. J. 2003. Valency and se-\nmantic roles: the concept of deep\nstructure case. In V . Agel, L. M.']",../data/course_textbook.pdf,596
What may happen if a student breaches the policy regarding the use of generative models for assignments?,Breaching this policy may result in the initiation of proceedings related to student misconduct.,"['Meta LLaMa, DALL-E, or ANY other small/large language/image/audio/video generative \nmodels, to create content such as text, code, images, multimedia, or any related materials \nintended for assignments, quizzes, or projects that contribute directly to the evaluation of \ngrades within this course is strictly proscribed. Exceptions to this rule apply only if the \nincorporation of such systems aligns with the specified objectives of the assignment or \nproject. Breaching this policy may result in the initiation of proceedings related to student \nmisconduct. \n Should there be any suspicion surrounding the content submitted by a student, \nsuggesting the involvement of an AI tool, I retain the authority to request clarification from']",../data/course_syllabus.pdf,9
What are the goals for the students by the end of the course related to multilingual textual data?,"Understand the process of garnering and pre-processing a large amount of multilingual textual data from various domains and sources, and characterize the processes to store, load, pre-process multilingual data and apply language processing operations such as normalization, tokenization, lemmatization, chunking and machine readable representation (vector) extraction.","['working on an NLP-based cutting-edge product, joining the industry in an NLP-centric \nrole, or pursuing a doctoral study or conducting doctoral research specializing in NLP or \ncomputational linguistics.  \nBy the end of the course, the goals for the students are to: \n1.Understand the process of garnering and pre-processing a large amount of multilingual \ntextual data from various domains and sources.  \n2.Characterize the processes to store, load, pre-process multilingual data and apply \nlanguage processing operations such as normalization, tokenization, lemmatization, \nchunking and machine readable representation (vector) extraction.']",../data/course_syllabus.pdf,0
What is one of the topics covered in WEEK7 of the Deep Learning for NLP-II course?,Language Models and Language Modeling objectives,"['[1]\xa0 Introduction - The Perceptron (https://web.mit.edu/course/other/i2course/www/\nvision_and_learning/perceptron_notes.pdf) \n[2]\xa0 A Neural Network in 11 lines of Python Part 1 (http://iamtrask.github.io/2015/07/12/\nbasic-python-network/) \n[3] Yann LeCun, Yoshua Bengio, Geoffrey Hinton, Deep Learning (https://\nwww.cs.toronto.edu/~hinton/absps/NatureDeepReview.pdf) Nature 521, no. 7553 (2015): \n436-444. doi:10.1038/nature14539 \n7. WEEK7. Deep Learning for NLP-II \nLecture: Language Models and Language Modeling objectives, Deep Dive into Word \nEmbeddings and Sentence Embeddings, Transfer Learning with language models like \nWord2Vec, BERT, RoBERTa and their successors, Pre-training and fine-tuning \nLab: Text classification revisited - with pre-trained language models \nReadings:']",../data/course_syllabus.pdf,7
What does the local coherence discriminator (LCD) compute?,The coherence of a text as the average of coherence scores between consecutive pairs of sentences.,"['order of sentences, thus using representation learning to discover the features that\nmatter for at least the ordering aspect of coherence.\nHere we present one such model, the local coherence discriminator (LCD) (Xu\net al., 2019). Like early models, LCD computes the coherence of a text as the av-\nerage of coherence scores between consecutive pairs of sentences. But unlike the\nearly unsupervised models, LCD is a self-supervised model trained to discriminate\nconsecutive sentence pairs (si,si+1) in the training documents (assumed to be coher-\nent) from (constructed) incoherent pairs (si,s′). All consecutive pairs are positive\nexamples, and the negative (incoherent) partner for a sentencesi is another sentence\nuniformly sampled from the same document as si.']",../data/course_textbook.pdf,572
What do connotation frames offer in relation to the Bechdel test?,New insights that complement and deviate from the well-known Bechdel test.,"['ure 5 in the appendix for a screenshot). 2 Further-\nmore, as will be seen in Section 4.1, connotation\nframes offer new insights that complement and de-\nviate from the well-known Bechdel test ( Bechdel,\n1986). In particular, we ﬁnd that high-agency\nwomen through the lens of connotation frames are\nrare in modern ﬁlms. It is, in part, because some\nmovies (e.g., Snow White) accidentally pass the\nBechdel test and also because even movies with\nstrong female characters are not entirely free from\nthe deeply ingrained biases in social norms.\n2 Connotation Frames of Power and\nAgency\nWe create two new connotation relations, power\nand agency (examples in Figure 3), as an expan-\nsion of the existing connotation frame lexicons. 3\nThree AMT crowdworkers annotated the verbs']",../data/course_textbook.pdf,526
What must Responsible Employees do when they receive information about Title IX related incidents?,"Responsible Employees must report any Title IX related incidents that are disclosed in writing, discussion, or one-on-one.","['universities, including faculty, report any information to the Title IX Office regarding \nsexual harassment, sexual assault, dating violence and stalking that is disclosed to them. \nTexas law requires that all employees who witness or receive any information of this type \n(including, but not limited to, writing assignments, class discussions, or one-on-one \nconversations) must be reported. I am a Responsible Employee and must report \nany Title IX related incidents that are disclosed in writing, discussion, or one-on-one. \nBefore talking with me, or with any faculty or staff member about a Title IX related \nincident, be sure to ask whether they are a responsible employee. If you would like to speak \nwith someone who can provide support or remedies without making an official report to']",../data/course_syllabus.pdf,11
What is the title of the book authored by Jurafsky and Manning in 2012?,Natural language processing,"['Manning, C. (2012). Natural language processing. Instructor, 212(998), 3482.  \n[2] Chapter 13. Parsing with Context Free grammars and Chapter 14. Statistical Parsing. \nBook: Jurafsky, D., & Manning, C. (2012). Natural language processing. Instructor, \n212(998), 3482. \n[3] Handout on Named Entity Recognition https://web.stanford.edu/class/archive/cs/\ncs224n/cs224n.1106/handouts/InfoExtract-cs224n-2010-1up.pdf \nOptional Readings (skip the machine learning related portions):  \n[1] Chapter 9, 10, 11, 12. Book: Manning, C., & Schutze, H. (1999). Foundations of \nstatistical natural language processing. MIT press.  \n[2] https://stanfordnlp.github.io/CoreNLP/parse.html  \nAssignment 3: Information Extraction from PDF documents']",../data/course_syllabus.pdf,5
What is a turn in a dialogue?,"A turn in a dialogue is a single contribution from one speaker to the dialogue, which can be a sentence, a single word, or multiple sentences.","['574 CHAPTER 25 • C ONVERSATION AND ITS STRUCTURE\n25.1.1 Turns\nA dialogue is a sequence ofturns (C1, A2, C3, and so on), each a single contributionturn\nfrom one speaker to the dialogue (as if in a game: I take a turn, then you take a turn,\nthen me, and so on). There are 20 turns in Fig. 25.1. A turn can consist of a sentence\n(like C1), although it might be as short as a single word (C13) or as long as multiple\nsentences (A10).\nTurn structure has important implications for spoken dialogue. A human has\nto know when to stop talking; the client interrupts (in A 16 and C 17), so a system\nthat was performing this role must know to stop talking (and that the user might be\nmaking a correction).\nThe same issues come up for LLMs; a system also has to know when to start']",../data/course_textbook.pdf,581
